market_cap,price,dia,capitalizacion propia
1556323200000,0.005470458299220707,0,50981766
1556409600000,0.005207030741745718,1,48526761
1556496000000,0.0043809965092268125,2,40828561
1556582400000,0.0035276874041553726,3,32876173
1556668800000,0.004395773226587837,4,40966272
1556755200000,0.004329784808540857,5,40351295
1556841600000,0.004193112059507956,6,39077578
1556928000000,0.004224852324483694,7,39373380
1557014400000,0.0039389381418024816,8,36708812
1557100800000,0.0037306798850975276,9,34767955
1557187200000,0.0037703573823272924,10,35137729
1557273600000,0.0034777878687029386,11,32411136
1557360000000,0.0032943096729554943,12,30701217
1557446400000,0.003143762979229793,13,29298201
1557532800000,0.003763312422839745,14,35072073
1557619200000,0.004670115092453859,15,43522993
1557705600000,0.005218062375747743,16,48629570
1557792000000,0.008771439775532169,17,81745161
1557878400000,0.007717692444279263,18,71924796
1557964800000,0.00957628136344939,19,89245857
1558051200000,0.010889454739030588,20,101483936
1558137600000,0.014521189912462665,21,135329780
1558224000000,0.01234462149027778,22,115045318
1558310400000,0.020172912698865224,23,188000835
1558396800000,0.030190717212877444,24,281361455
1558483200000,0.028913648277292675,25,269459850
1558569600000,0.02169048924254803,26,202143843
1558656000000,0.02663500604230838,27,248224114
1558742400000,0.025595960114327222,28,238540758
1558828800000,0.02502797665936501,29,233247454
1558915200000,0.024397479508656287,30,227371555
1559001600000,0.022289453000732692,31,207725867
1559088000000,0.023761635754138758,32,221445829
1559174400000,0.022118548256102752,33,206133126
1559260800000,0.01971449651124225,34,183728640
1559347200000,0.02300462440600146,35,214390885
1559433600000,0.021409017137042057,36,199520673
1559520000000,0.020158085424526483,37,187862653
1559606400000,0.019799638884990287,38,184522122
1559692800000,0.02101781204643477,39,195874849
1559779200000,0.022966122830628908,40,214032071
1559865600000,0.023380650931131338,41,217895253
1559952000000,0.02439035583413357,42,227305166
1560038400000,0.026258675690796388,43,244716915
1560124800000,0.025759263519942614,44,240062659
1560211200000,0.02737700117050995,45,255139115
1560297600000,0.02380433556861,46,221843769
1560384000000,0.023710133343086148,47,220965854
1560470400000,0.0232212275070925,48,216409511
1560556800000,0.021151822769608322,49,197123758
1560643200000,0.022564048745833867,50,210284954
1560729600000,0.02314670515669152,51,215715002
1560816000000,0.021710355514659194,52,202328986
1560902400000,0.0223922266756101,53,208683663
1560988800000,0.02309069796664873,54,215193045
1561075200000,0.02259968288112068,55,210617045
1561161600000,0.021190606751222,56,197485204
1561248000000,0.021885627758767033,57,203962430
1561334400000,0.02111757598220513,58,196804596
1561420800000,0.020723672674110443,59,193133626
1561507200000,0.019158140179115855,60,178543694
1561593600000,0.01788664072228165,61,166693994
1561680000000,0.019414255484757125,62,180930553
1561766400000,0.01928801559399202,63,179754064
1561852800000,0.023876566692411755,64,222516924
1561939200000,0.02195680098774727,65,204625727
1562025600000,0.022335406310262814,66,208154128
1562112000000,0.021607580376026954,67,201371176
1562198400000,0.019345337537531346,68,180288274
1562284800000,0.018106594477698478,69,168743847
1562371200000,0.01839574877656693,70,171438611
1562457600000,0.017712131849654995,71,165067664
1562544000000,0.017703511709679747,72,164987329
1562630400000,0.016688509354315095,73,155528046
1562716800000,0.0161873635371264,74,150857633
1562803200000,0.01623179820490713,75,151271741
1562889600000,0.01446671453258537,76,134822098
1562976000000,0.015780378304293505,77,147064747
1563062400000,0.016644659560562457,78,155119389
1563148800000,0.014369554806469774,79,133916621
1563235200000,0.013875669079358093,80,129313868
1563321600000,0.012095696675992276,81,112725471
1563408000000,0.013190027511248028,82,122924053
1563494400000,0.013653930095044347,83,127247379
1563580800000,0.013431660460785168,84,125175944
1563667200000,0.014018082009204983,85,130641081
1563753600000,0.01342678251319012,86,125130484
1563840000000,0.012756641184267016,87,118885122
1563926400000,0.011570307158907079,88,107829119
1564012800000,0.011973424158020612,89,111585956
1564099200000,0.012192110402562148,90,113623995
1564185600000,0.012745861413031958,91,118784661
1564272000000,0.011938400726928896,92,111259556
1564358400000,0.01175807216250973,93,109578989
1564444800000,0.011436872586054069,94,106585580
1564531200000,0.01149077029397061,95,107087878
1564617600000,0.01135779248663543,96,105848595
1564704000000,0.01062797759007588,97,99047108
1564790400000,0.011089687697989795,98,103350001
1564876800000,0.010635447441703682,99,99116723
1564963200000,0.01022661029013871,100,95306578
1565049600000,0.011703940872436737,101,109074514
1565136000000,0.015314422773079334,102,142722289
1565222400000,0.016879049749995857,103,157303782
1565308800000,0.014277317039784857,104,133057014
1565395200000,0.012264416632172247,105,114297851
1565481600000,0.014927053710683265,106,139112215
1565568000000,0.016469527741153612,107,153487254
1565654400000,0.01709743897923698,108,159339053
1565740800000,0.016506564404594293,109,153832416
1565827200000,0.014760442226436644,110,137559484
1565913600000,0.014610149717631577,111,136158838
1566000000000,0.013327166721978779,112,124202118
1566086400000,0.014098842111378521,113,131393722
1566172800000,0.013878509634899339,114,129340341
1566259200000,0.01546653209966227,115,144139867
1566345600000,0.01573045122893184,116,146599453
1566432000000,0.015437552443138821,117,143869792
1566518400000,0.016875036035953122,118,157266376
1566604800000,0.015464257170877573,119,144118666
1566691200000,0.01482228233468403,120,138135801
1566777600000,0.013629162831136915,121,127016561
1566864000000,0.013883853698299817,122,129390145
1566950400000,0.014201219927238218,123,132347829
1567036800000,0.012893061826979782,124,120156490
1567123200000,0.011679408692837283,125,108845888
1567209600000,0.012369776656154423,126,115279750
1567296000000,0.011795745746797872,127,109930087
1567382400000,0.012193502686759589,128,113636971
1567468800000,0.013596088214883551,129,126708323
1567555200000,0.014310594658336201,130,133367144
1567641600000,0.014111626232608818,131,131512864
