market_cap,price,dia,capitalizacion propia,cripto
1691452800000,1826.9334855730522,15,219617625465,Ethereum
1691539200000,1856.8441445120409,16,223213217721,Ethereum
1691625600000,1855.8907273266504,17,223098606423,Ethereum
1691712000000,1850.8769886993493,18,222495899548,Ethereum
1691798400000,1847.5418351143242,19,222094977173,Ethereum
1691884800000,1848.505238656101,20,222210788942,Ethereum
1691971200000,1839.5128095422053,21,221129799434,Ethereum
1692057600000,1843.5133910053466,22,221610713605,Ethereum
1692144000000,1826.9131281594616,23,219615178279,Ethereum
1692230400000,1809.4604742643007,24,217517176115,Ethereum
1692316800000,1675.8621709457839,25,201457181390,Ethereum
1692403200000,1660.6791095302815,26,199632009361,Ethereum
1692489600000,1669.233454808334,27,200660336343,Ethereum
1692576000000,1682.461825140931,28,202250532869,Ethereum
1692662400000,1666.8404654985097,29,200372672543,Ethereum
1692715670000,1656.4084551471346,30,199118629437,Ethereum
1690243200000,0.07443111396316238,1,10472319023,Dogecoin
1690329600000,0.08171919103229187,2,11497737885,Dogecoin
1690416000000,0.07794154175017286,3,10966229671,Dogecoin
1690502400000,0.07752369496797262,4,10907439407,Dogecoin
1690588800000,0.07728342969712826,5,10873634531,Dogecoin
1690675200000,0.08019910025880837,6,11283863946,Dogecoin
1690761600000,0.07803467090689206,7,10979332769,Dogecoin
1690848000000,0.07787250121798182,8,10956515796,Dogecoin
1690934400000,0.07787341775765667,9,10956644752,Dogecoin
1691020800000,0.07416661033160461,10,10435103855,Dogecoin
1691107200000,0.07364205096480092,11,10361299330,Dogecoin
1691193600000,0.07347115151999366,12,10337254096,Dogecoin
1691280000000,0.0756030103532975,13,10637202661,Dogecoin
1691366400000,0.07414869988994734,14,10432583889,Dogecoin
1691452800000,0.07337445878546754,15,10323649609,Dogecoin
1691539200000,0.075010141400058,16,10553787104,Dogecoin
1691625600000,0.07538491798507338,17,10606517471,Dogecoin
1691712000000,0.07575914683840941,18,10659170774,Dogecoin
1691798400000,0.07571372651610539,19,10652780219,Dogecoin
1691884800000,0.07669635362899262,20,10791034023,Dogecoin
1691971200000,0.07477774953713263,21,10521090002,Dogecoin
1692057600000,0.0747643472233638,22,10519204322,Dogecoin
1692144000000,0.07081813592450618,23,9963979746,Dogecoin
1692230400000,0.06731245462385212,24,9470736921,Dogecoin
1692316800000,0.061057306822760726,25,8590649282,Dogecoin
1692403200000,0.06318900801674161,26,8890575667,Dogecoin
1692489600000,0.06373389834212899,27,8967240721,Dogecoin
1692576000000,0.06374373143630543,28,8968624219,Dogecoin
1692662400000,0.06250115700604442,29,8793796312,Dogecoin
1692720599000,0.06235954681361679,30,8773872022,Dogecoin
1690243200000,0.728411534959131,1,6788408769,Matic
1690329600000,0.7084695121360546,2,6602559704,Matic
1690416000000,0.7220209724739719,3,6728852120,Matic
1690502400000,0.7160603058059711,4,6673301871,Matic
1690588800000,0.7094526936193374,5,6611722434,Matic
1690675200000,0.7188106929413386,6,6698934019,Matic
1690761600000,0.6977245349540061,7,6502422222,Matic
1690848000000,0.6882074032906282,8,6413727608,Matic
1690934400000,0.6988975715820345,9,6513354300,Matic
1691020800000,0.6800968773915135,10,6338141812,Matic
1691107200000,0.6684125816196896,11,6229250379,Matic
1691193600000,0.6642768421348192,12,6190707483,Matic
1691280000000,0.6661943090418332,13,6208577257,Matic
1691366400000,0.6656537302752854,14,6203539349,Matic
1691452800000,0.6646149223892596,15,6193858212,Matic
1691539200000,0.6858450840610164,16,6391712047,Matic
1691625600000,0.6909202119136653,17,6439009544,Matic
1691712000000,0.6846584678363384,18,6380653413,Matic
1691798400000,0.6803814272144604,19,6340793666,Matic
1691884800000,0.6813714521118737,20,6350020172,Matic
1691971200000,0.677199139363195,21,6311136432,Matic
1692057600000,0.6794261242010894,22,6331890749,Matic
1692144000000,0.6388774518386297,23,5953998651,Matic
1692230400000,0.6237921272379285,24,5813411435,Matic
1692316800000,0.5718304223832802,25,5329155934,Matic
1692403200000,0.5773579023607582,26,5380669112,Matic
1692489600000,0.5765645270614254,27,5373275276,Matic
1692576000000,0.579504089595839,28,5400670438,Matic
1692662400000,0.5573953839609269,29,5194629040,Matic
1692725548000,0.5314255025630275,30,4952603533,Matic
1690243200000,1.3477612825539443e-06,1,511866257,Pepe
1690329600000,1.3106147299563635e-06,2,497758368,Pepe
1690416000000,1.3350744201718313e-06,3,507047914,Pepe
1690502400000,1.3449133960112231e-06,4,510784658,Pepe
1690588800000,1.3419190685860623e-06,5,509647443,Pepe
1690675200000,1.353777006087688e-06,6,514150969,Pepe
1690761600000,1.2972905631236213e-06,7,492697982,Pepe
1690848000000,1.2373653606028373e-06,8,469938990,Pepe
1690934400000,1.2728800027280113e-06,9,483427096,Pepe
1691020800000,1.2157775708973016e-06,10,461740163,Pepe
1691107200000,1.2000724844270373e-06,11,455775528,Pepe
1691193600000,1.155491656108546e-06,12,438844176,Pepe
1691280000000,1.1548992228940226e-06,13,438619175,Pepe
1691366400000,1.157641132306614e-06,14,439660525,Pepe
1691452800000,1.1153012200178668e-06,15,423580250,Pepe
1691539200000,1.1755486596636904e-06,16,446461625,Pepe
1691625600000,1.2354468616754316e-06,17,469210363,Pepe
1691712000000,1.231541301157406e-06,18,467727070,Pepe
1691798400000,1.2465325313798327e-06,19,473420590,Pepe
1691884800000,1.3472355927795313e-06,20,511666605,Pepe
1691971200000,1.3679112883309787e-06,21,519519028,Pepe
1692057600000,1.4096666700283208e-06,22,535377304,Pepe
1692144000000,1.2676864430742956e-06,23,481454634,Pepe
1692230400000,1.1666644572427121e-06,24,443087494,Pepe
1692316800000,1.0799692625354535e-06,25,410161526,Pepe
1692403200000,1.0905016797347442e-06,26,414161632,Pepe
1692489600000,1.1350869364238667e-06,27,431094667,Pepe
1692576000000,1.129675050254524e-06,28,429039287,Pepe
1692662400000,1.0890121966452272e-06,29,413595942,Pepe
1692732481000,1.042786773305498e-06,30,396039988,Pepe
1690243200000,1.0000973295833209,1,82861285697,USDT
1690329600000,0.9996062705921892,2,82820599878,USDT
1690416000000,1.0008326044089932,3,82922205585,USDT
1690502400000,0.999739572533881,4,82831644373,USDT
1690588800000,0.9999453849555628,5,82848696595,USDT
1690675200000,0.9999745347844408,6,82851111752,USDT
1690761600000,1.0002378457856913,7,82872927917,USDT
1690848000000,0.999866830556736,8,82842188110,USDT
1690934400000,0.9999415960949525,9,82848382676,USDT
1691020800000,0.999241912887552,10,82790411668,USDT
1691107200000,0.9986798538079775,11,82743843262,USDT
1691193600000,0.9989124954709581,12,82763118374,USDT
1691280000000,0.9989869260138814,13,82769285184,USDT
1691366400000,0.9983198416783463,14,82714015098,USDT
1691452800000,0.9988731533009275,15,82759858748,USDT
1691539200000,0.9999454982095487,16,82848705979,USDT
1691625600000,0.9997120082401099,17,82829360582,USDT
1691712000000,0.9988989814309317,18,82761998692,USDT
1691798400000,0.9989379212012733,19,82765224977,USDT
1691884800000,0.9993771983831886,20,82801620507,USDT
1691971200000,0.9993836393270443,21,82802154160,USDT
1692057600000,0.998712649259746,22,82746560471,USDT
1692144000000,0.9988934302939576,23,82761538762,USDT
1692230400000,0.9997501195088656,24,82832518224,USDT
1692316800000,0.9961744307155989,25,82536260888,USDT
1692403200000,0.999380820968805,26,82801920650,USDT
1692489600000,1.0002432374147268,27,82873374631,USDT
1692576000000,0.9992078411720594,28,82787588717,USDT
1692662400000,0.9998321490594397,29,82839314636,USDT
1692712801000,0.9996446630316913,30,82823780815,USDT
1690243200000,2.1862579248328444,1,277012624,Worldcoin
1690329600000,2.2800309808203476,2,288894259,Worldcoin
1690416000000,2.2405887084201876,3,283896675,Worldcoin
1690502400000,2.1019364840263055,4,266328567,Worldcoin
1690588800000,2.2218486216605777,5,281522189,Worldcoin
1690675200000,2.3490790184737262,6,297643080,Worldcoin
1690761600000,2.285819272127601,7,289627672,Worldcoin
1690848000000,2.3193047097949417,8,293870488,Worldcoin
1690934400000,2.429513429882892,9,307834625,Worldcoin
1691020800000,2.358061208163573,10,298781180,Worldcoin
1691107200000,2.3309257371643834,11,295342945,Worldcoin
1691193600000,2.1693520155409804,12,274870539,Worldcoin
1691280000000,2.120689495306523,13,268704691,Worldcoin
1691366400000,2.04137973216826,14,258655646,Worldcoin
1691452800000,2.0380286033097588,15,258231037,Worldcoin
1691539200000,1.9353354358519295,16,245219167,Worldcoin
1691625600000,1.8315766950048937,17,232072282,Worldcoin
1691712000000,1.6780980938482408,18,212625578,Worldcoin
1691798400000,1.7432575539811066,19,220881691,Worldcoin
